Block,Strain,Treatment.ID,Plate.ID,Worm,Death.Date,Cause ,D1,Age ,Event,Exp,Inf
1,SKN-1,ev,9,6,28-Feb,M,16-Feb,12,1,0,0
1,SKN-1,ev,9,7,5-Mar,D,16-Feb,17,1,0,0
1,SKN-1,ev,9,8,5-Mar,D,16-Feb,17,1,0,0
1,SKN-1,ev,9,9,8-Mar,D,16-Feb,20,1,0,0
1,SKN-1,ev,9,10,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,daf,10,1,20-Feb,L,16-Feb,4,0,0,0
1,SKN-1,daf,10,2,23-Feb,M,16-Feb,7,1,0,0
1,SKN-1,daf,10,3,24-Feb,M,16-Feb,8,1,0,0
1,SKN-1,daf,10,4,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,daf,10,5,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,daf,10,6,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,daf,10,7,8-Mar,D,16-Feb,20,1,0,0
1,SKN-1,daf,10,8,8-Mar,D,16-Feb,20,1,0,0
1,SKN-1,daf,10,9,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,daf,10,10,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,ev,11,1,28-Feb,M,16-Feb,12,1,0,0
1,SKN-1,ev,11,2,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,ev,11,3,8-Mar,D,16-Feb,20,1,0,0
1,SKN-1,ev,11,4,8-Mar,D,16-Feb,20,1,0,0
1,SKN-1,ev,11,5,8-Mar,D,16-Feb,20,1,0,0
1,SKN-1,ev,11,6,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,ev,11,7,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,ev,11,8,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,ev,11,9,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,ev,11,10,19-Mar,D,16-Feb,31,1,0,0
1,SKN-1,daf,12,1,26-Feb,M,16-Feb,10,1,0,0
1,SKN-1,daf,12,2,2-Mar,D,16-Feb,14,1,0,0
1,SKN-1,daf,12,3,5-Mar,D,16-Feb,17,1,0,0
1,SKN-1,daf,12,4,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,daf,12,5,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,daf,12,6,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,daf,12,7,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,daf,12,8,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,daf,12,9,8-Mar,D,16-Feb,20,1,0,0
1,SKN-1,daf,12,10,10-Mar,D,16-Feb,22,1,0,0
1,SKN-1,daf,13,1,23-Feb,M,16-Feb,7,1,0,0
1,SKN-1,daf,13,2,24-Feb,M,16-Feb,8,1,0,0
1,SKN-1,daf,13,3,28-Feb,M,16-Feb,12,1,0,0
1,SKN-1,daf,13,4,2-Mar,M,16-Feb,14,1,0,0
1,SKN-1,daf,13,5,4-Mar,D,16-Feb,16,1,0,0
1,SKN-1,daf,13,6,5-Mar,D,16-Feb,17,1,0,0
1,SKN-1,daf,13,7,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,daf,13,8,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,daf,13,9,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,daf,13,10,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,ev,14,1,26-Feb,E,16-Feb,10,0,1,0
1,SKN-1,ev,14,2,27-Feb,M,16-Feb,11,1,0,0
1,SKN-1,ev,14,3,28-Feb,M,16-Feb,12,1,0,0
1,SKN-1,ev,14,4,28-Feb,M,16-Feb,12,1,0,0
1,SKN-1,ev,14,5,2-Mar,D,16-Feb,14,1,0,0
1,SKN-1,ev,14,6,3-Mar,D,16-Feb,15,1,0,0
1,SKN-1,ev,14,7,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,ev,14,8,8-Mar,D,16-Feb,20,1,0,0
1,SKN-1,ev,14,9,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,ev,14,10,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,ev,15,1,3-Mar,M,16-Feb,15,1,0,0
1,SKN-1,ev,15,2,4-Mar,D,16-Feb,16,1,0,0
1,SKN-1,ev,15,3,6-Mar,D,16-Feb,18,1,0,0
1,SKN-1,ev,15,4,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,ev,15,5,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,ev,15,6,7-Mar,D,16-Feb,19,1,0,0
1,SKN-1,ev,15,7,8-Mar,D,16-Feb,20,1,0,1
1,SKN-1,ev,15,8,8-Mar,D,16-Feb,20,1,0,1
1,SKN-1,ev,15,9,8-Mar,D,16-Feb,20,1,0,1
1,SKN-1,ev,15,10,9-Mar,D,16-Feb,21,1,0,0
1,SKN-1,ev,16,1,21-Feb,M,16-Feb,5,1,0,0
1,SKN-1,ev,16,2,25-Feb,M,16-Feb,9,1,0,0
1,SKN-1,ev,16,3,2-Mar,D,16-Feb,14,1,0,0
1,SKN-1,ev,16,4,2-Mar,D,16-Feb,14,1,0,0
