ID,Strain,Treatment,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Matricide,,
27,N2,daf,6,48,116,40,27,7,7,4,2,0,0,,
28,N2,ev,6,68,168,27,16,1,3,0,0,0,0,,
29,N2,ev,1,62,153,1,0,0,0,0,0,0,0,,
30,N2,ev,15,77,157,8,2,0,0,0,0,0,0,,
31,N2,daf,0,45,111,48,67,17,3,1,0,0,0,,
32,N2,ev,1,58,182,18,1,2,0,0,0,0,0,,
33,N2,daf,3,53,121,40,42,10,4,1,1,NA,0,,
34,N2,ev,0,62,125,3,1,10,0,0,0,0,0,,
35,N2,ev,0,52,120,8,0,0,0,0,0,0,0,,
36,N2,ev,1,53,170,15,2,0,0,0,0,0,0,,
37,N2,daf,0,19,142,54,9,0,0,0,0,0,0,,
38,N2,ev,0,59,164,41,17,0,0,0,0,0,0,,
39,N2,ev,0,52,166,19,12,0,0,0,0,0,0,,
40,N2,daf,1,43,84,35,34,14,10,3,3,NA,1,,
41,N2,ev,0,17,46,1,1,0,0,0,0,0,0,,
42,N2,daf,0,30,111,50,39,5,1,0,0,0,0,,
43,N2,ev,0,40,150,24,0,0,0,0,0,0,0,,
44,N2,daf,0,39,96,22,16,0,0,0,0,0,0,,
45,N2,ev,0,3,14,1,1,0,0,0,NA,NA,0,,
46,N2,ev,0,25,107,17,0,0,0,0,0,0,0,,
47,N2,ev,5,49,109,19,12,2,0,0,0,0,0,,
48,N2,daf,0,38,108,51,74,22,5,0,0,0,0,,
49,N2,ev,0,38,181,41,7,0,0,0,0,1,0,,
50,N2,ev,0,10,10,0,0,0,0,NA,NA,NA,1,,
51,N2,daf,0,47,113,50,28,4,3,1,0,0,0,,
52,N2,ev,0,49,194,28,1,13,14,2,1,0,0,,
53,N2,daf,0,26,77,35,41,0,0,0,0,0,0,,
54,N2,ev,0,43,184,58,7,0,0,0,0,0,0,,
55,N2,daf,5,59,145,53,27,0,0,0,0,0,0,,
56,N2,daf,0,27,121,53,18,0,0,0,0,0,0,,
57,N2,daf,0,23,91,39,40,14,10,2,4,2,0,,
58,N2,ev,1,39,78,21,22,7,3,0,0,0,0,,
59,N2,daf,2,38,89,36,36,18,19,3,3,0,0,,
60,N2,ev,0,43,118,29,21,4,3,NA,NA,NA,1,,
