ID,Strain,Treatment,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Matricide,,
44,SKN-1,daf,,93,84,59,10,1,1,0,NA,NA,NA,,
45,SKN-1,ev,,123,85,61,3,5,0,0,0,0,NA,,
46,SKN-1,daf,,66,24,29,7,11,0,1,0,0,0,,
47,SKN-1,ev,,108,44,52,6,11,NA,NA,NA,NA,1,,
48,SKN-1,ev,,91,59,12,9,13,4,1,0,0,0,,
49,SKN-1,ev,,28,NA,NA,NA,NA,NA,NA,NA,NA,1,,
50,SKN-1,ev,,100,76,62,2,0,0,0,0,0,0,,
51,SKN-1,ev,,99,80,49,2,8,1,0,0,0,0,,
52,SKN-1,ev,,113,52,78,5,1,0,0,0,0,0,,
53,SKN-1,daf,,54,21,47,9,13,NA,NA,NA,NA,1,,
54,SKN-1,ev,,114,90,95,1,1,0,6,0,0,0,,
55,SKN-1,ev,,83,97,75,0,0,0,0,0,0,0,,
56,SKN-1,daf,,52,26,20,14,NA,NA,NA,NA,NA,1,,
57,SKN-1,daf,,94,52,55,4,1,0,0,0,0,0,,
58,SKN-1,ev,,111,76,59,0,0,0,0,0,0,0,,
59,SKN-1,ev,,60,44,34,0,11,NA,NA,NA,NA,1,,
60,SKN-1,daf,,114,98,13,0,NA,NA,NA,NA,NA,0,,
1,N2,ev,1,122,29,2,0,0,0,0,0,0,0,,
2,N2,daf,,50,15,15,0,3,NA,NA,NA,NA,1,,
3,N2,daf,,89,65,59,11,10,0,1,1,0,0,,
4,N2,ev,,112,61,60,1,1,0,0,0,0,0,,
5,N2,daf,,66,27,35,18,21,2,2,0,0,0,,
6,N2,daf,,84,32,53,15,20,2,4,NA,NA,1,,
7,N2,daf,,76,32,35,15,15,0,6,2,2,0,,
8,N2,daf,,101,72,94,18,1,0,0,0,0,0,,
9,N2,daf,,82,72,45,2,0,1,1,0,0,0,,
10,N2,daf,,79,33,50,14,7,0,0,0,0,0,,
11,N2,daf,,107,89,105,19,9,1,1,0,0,0,,
12,N2,daf,,76,36,44,11,8,0,0,0,0,0,,
13,N2,daf,,101,70,66,18,4,0,0,0,0,0,,
14,N2,daf,,84,62,76,16,25,0,3,3,1,0,,
15,N2,ev,,83,45,38,5,9,0,0,0,0,0,,
16,N2,daf,,100,83,44,14,10,0,0,0,0,0,,
17,N2,ev,,84,64,53,10,3,0,0,0,0,0,,
18,N2,ev,,33,12,11,NA,NA,NA,NA,NA,NA,1,,
19,N2,daf,,99,77,68,3,1,0,0,0,0,0,,
20,N2,daf,,61,33,28,13,12,1,8,0,NA,1,,
21,N2,ev,,84,23,32,12,7,0,0,0,2,0,,
